run_id,interface,fault,outcome,correct,classification,impl_error
87716b27-514,I0,,completed_as_requested,True,operational_success,False
2f7dd837-433,I0,lost_response_after_effect,completed_as_requested,True,operational_success,False
634fb79a-3b2,I0,stale_state,completed_as_requested,True,operational_success,False
91aa3e59-f43,I1,,completed_as_requested,True,operational_success,False
1444b57b-f1d,I1,lost_response_after_effect,completed_as_requested,True,operational_success,False
66dc36d4-fe8,I1,stale_state,completed_as_requested,True,operational_success,False
89b63518-4d9,I4,,completed_as_requested,True,operational_success,False
8534776e-234,I4,lost_response_after_effect,completed_as_requested,True,operational_success,False
e4490b23-e82,I4,stale_state,completed_as_requested,True,operational_success,False
4b896cff-bb4,I5,,completed_as_requested,True,operational_success,False
a20b165c-431,I5,lost_response_after_effect,completed_as_requested,True,operational_success,False
fe53673e-2ed,I5,stale_state,completed_as_requested,True,operational_success,False
11ce344d-c98,I0,,completed_as_requested,True,operational_success,False
f23ba708-26c,I0,lost_response_after_effect,completed_as_requested,True,operational_success,False
100c5762-d9d,I0,stale_state,completed_as_requested,True,operational_success,False
d1e26296-345,I1,,completed_as_requested,True,operational_success,False
b8155e59-17d,I1,lost_response_after_effect,completed_as_requested,True,operational_success,False
8c2f795a-61c,I1,stale_state,completed_as_requested,True,operational_success,False
8225ce5d-285,I4,,completed_as_requested,True,operational_success,False
68406669-5f8,I4,lost_response_after_effect,completed_as_requested,True,operational_success,False
3725f836-281,I4,stale_state,completed_as_requested,True,operational_success,False
121ff0da-701,I5,,completed_as_requested,True,operational_success,False
ca9f2226-0c8,I5,lost_response_after_effect,completed_as_requested,True,operational_success,False
4ee38345-d21,I5,stale_state,completed_as_requested,True,operational_success,False
